country,iso3,dimension,integrator_recommendation,llm_recommendation,final,llm_changed
Guinea-Bissau,GNB,D2,51.56,52.0,52,False
Guinea-Bissau,GNB,D3,36.05,36.0,36,False
Guinea-Bissau,GNB,D4,35.47,35.0,35,False
Equatorial Guinea,GNQ,D1,28.51,29.0,29,False
Equatorial Guinea,GNQ,D2,38.94,39.0,39,False
Equatorial Guinea,GNQ,D3,45.63,46.0,46,False
Equatorial Guinea,GNQ,D4,38.03,38.0,38,False
Guyana,GUY,D1,35.78,36.0,36,False
Guyana,GUY,D2,47.5,48.0,48,True
Guyana,GUY,D3,52.11,52.0,52,False
Guyana,GUY,D4,40.03,40.0,40,False
Haiti,HTI,D1,31.46,33.0,33,True
Haiti,HTI,D2,69.89,70.0,70,False
Haiti,HTI,D3,44.09,44.0,44,False
Haiti,HTI,D4,41.43,41.0,41,False
Cambodia,KHM,D1,30.45,30.0,30,False
Cambodia,KHM,D2,40.99,41.0,41,False
Cambodia,KHM,D3,54.17,54.0,54,False
Cambodia,KHM,D4,32.97,33.0,33,False
Laos,LAO,D1,28.14,28.0,28,False
Laos,LAO,D2,32.44,32.0,32,False
Laos,LAO,D3,51.93,55.0,55,True
Laos,LAO,D4,31.74,30.0,30,True
Liberia,LBR,D1,30.45,30.0,30,False
Liberia,LBR,D2,52.73,53.0,53,False
Liberia,LBR,D3,48.68,49.0,49,False
Liberia,LBR,D4,48.04,48.0,48,False
Liechtenstein,LIE,D1,62.15,62.0,62,False
Liechtenstein,LIE,D2,41.36,41.0,41,False
Liechtenstein,LIE,D3,70.18,70.0,70,False
Liechtenstein,LIE,D4,63.26,63.0,63,False
Lesotho,LSO,D1,29.83,30.0,30,False
Lesotho,LSO,D2,41.47,41.0,41,False
Lesotho,LSO,D3,55.01,55.0,55,False
Lesotho,LSO,D4,38.27,38.0,38,False
MAC,MAC,D1,51.02,51.0,51,False
MAC,MAC,D2,46.0,46.0,46,False
MAC,MAC,D3,64.57,65.0,65,False
MAC,MAC,D4,61.65,62.0,62,False
Moldova,MDA,D1,42.22,43.0,43,True
Moldova,MDA,D2,41.84,42.0,42,False
Moldova,MDA,D3,63.82,64.0,64,False
Moldova,MDA,D4,41.2,41.0,41,False
Madagascar,MDG,D1,37.76,35.0,35,True
Madagascar,MDG,D2,39.81,40.0,40,False
Madagascar,MDG,D3,52.51,53.0,53,False
Madagascar,MDG,D4,37.86,38.0,38,False
Maldives,MDV,D1,37.59,38.0,38,False
Maldives,MDV,D2,40.39,40.0,40,False
Maldives,MDV,D3,60.81,61.0,61,False
Maldives,MDV,D4,46.55,47.0,47,False
Macedonia,MKD,D1,34.62,35.0,35,False
Macedonia,MKD,D2,50.1,50.0,50,False
Macedonia,MKD,D3,59.81,60.0,60,False
Macedonia,MKD,D4,44.78,45.0,45,False
Mali,MLI,D1,36.54,37.0,37,False
Mali,MLI,D2,57.61,58.0,58,False
Mali,MLI,D3,51.87,52.0,52,False
Mali,MLI,D4,40.82,41.0,41,False
Malta,MLT,D1,49.23,49.0,49,False
Malta,MLT,D2,63.18,63.0,63,False
Malta,MLT,D3,78.45,78.0,78,False
Malta,MLT,D4,46.84,47.0,47,False
Montenegro,MNE,D1,48.59,49.0,49,False
Montenegro,MNE,D2,50.62,51.0,51,False
Montenegro,MNE,D3,63.68,64.0,64,False
Montenegro,MNE,D4,46.75,47.0,47,False
Mauritania,MRT,D1,25.84,26.0,26,False
Mauritania,MRT,D2,36.52,37.0,37,False
Mauritania,MRT,D3,52.98,53.0,53,False
Mauritania,MRT,D4,35.77,36.0,36,False
Niger,NER,D1,34.75,35.0,35,False
Niger,NER,D2,42.2,42.0,42,False
Niger,NER,D3,49.33,49.0,49,False
Niger,NER,D4,33.53,34.0,34,False
NIR,NIR,D1,60.34,60.0,60,False
NIR,NIR,D2,55.42,55.0,55,False
NIR,NIR,D3,62.95,63.0,63,False
NIR,NIR,D4,57.09,57.0,57,False
Papua New Guinea,PNG,D1,34.03,34.0,44,False
Papua New Guinea,PNG,D2,59.94,60.0,60,False
Papua New Guinea,PNG,D3,41.58,42.0,42,False
Papua New Guinea,PNG,D4,47.11,47.0,47,False
North Korea,PRK,D1,20.4,20.0,26,False
North Korea,PRK,D2,23.22,23.0,24,False
North Korea,PRK,D3,79.84,80.0,79,False
North Korea,PRK,D4,37.99,38.0,38,False
Palestine,PSE,D1,27.51,29.0,29,True
Palestine,PSE,D2,50.63,51.0,51,False
Palestine,PSE,D3,65.29,65.0,65,False
Palestine,PSE,D4,52.89,53.0,53,False
Rwanda,RWA,D1,24.76,25.0,26,False
Rwanda,RWA,D2,26.06,26.0,26,False
Rwanda,RWA,D3,63.6,64.0,64,False
Rwanda,RWA,D4,52.8,40.0,40,True
Sudan,SDN,D1,37.81,38.0,38,False
Sudan,SDN,D2,35.85,36.0,36,False
Sudan,SDN,D3,57.67,58.0,58,False
Sudan,SDN,D4,37.23,37.0,37,False
Somalia,SOM,D1,24.44,28.0,28,True
Somalia,SOM,D2,53.1,53.0,53,False
Somalia,SOM,D3,39.03,39.0,39,False
Somalia,SOM,D4,45.53,46.0,46,False
South Sudan,SSD,D1,28.38,28.0,28,False
South Sudan,SSD,D2,46.91,47.0,47,False
South Sudan,SSD,D3,42.29,42.0,42,False
South Sudan,SSD,D4,40.94,41.0,41,False
Chad,TCD,D1,25.67,28.0,28,True
Chad,TCD,D2,42.16,42.0,42,False
Chad,TCD,D3,48.68,49.0,49,False
Chad,TCD,D4,32.98,33.0,33,False
Togo,TGO,D1,27.12,28.0,28,True
Togo,TGO,D2,42.52,43.0,43,False
Togo,TGO,D3,45.03,45.0,45,False
Togo,TGO,D4,39.63,40.0,40,False
Turkmenistan,TKM,D1,26.0,28.0,28,True
Turkmenistan,TKM,D2,27.48,27.0,27,False
Turkmenistan,TKM,D3,71.17,71.0,71,False
Turkmenistan,TKM,D4,35.73,36.0,36,False
Antigua and Barbuda,ATG,D1,41.52,40.0,40,True
Antigua and Barbuda,ATG,D2,63.49,65.0,65,True
Antigua and Barbuda,ATG,D3,40.41,43.0,43,True
Antigua and Barbuda,ATG,D4,46.17,50.0,50,True
Bahrain,BHR,D1,32.46,30.0,30,True
Bahrain,BHR,D2,44.13,44.0,44,False
Bahrain,BHR,D3,72.52,73.0,73,False
Bahrain,BHR,D4,61.06,61.0,61,False
Barbados,BRB,D1,46.22,46.0,46,False
Barbados,BRB,D2,61.77,65.0,65,True
Barbados,BRB,D3,56.93,57.0,57,False
Barbados,BRB,D4,52.0,52.0,52,False
Congo (Brazzaville),COG,D1,25.28,25.0,25,False
Congo (Brazzaville),COG,D2,56.92,57.0,57,False
Congo (Brazzaville),COG,D3,46.16,46.0,46,False
Congo (Brazzaville),COG,D4,44.6,45.0,45,False
Comoros,COM,D1,22.03,22.0,22,False
Comoros,COM,D2,34.2,34.0,34,False
Comoros,COM,D3,61.76,62.0,62,False
Comoros,COM,D4,39.41,39.0,39,False
Dominica,DMA,D1,33.11,33.0,33,False
Dominica,DMA,D2,59.84,60.0,60,False
Dominica,DMA,D3,48.97,49.0,49,False
Dominica,DMA,D4,45.01,45.0,45,False
Micronesia (Fed. States),FSM,D1,26.08,26.0,26,False
Micronesia (Fed. States),FSM,D2,38.68,62.0,62,True
Micronesia (Fed. States),FSM,D3,55.22,40.0,40,True
Micronesia (Fed. States),FSM,D4,28.47,38.0,38,True
Grenada,GRD,D1,41.11,40.0,40,True
Grenada,GRD,D2,70.45,70.0,70,False
Grenada,GRD,D3,48.16,48.0,48,False
Grenada,GRD,D4,46.81,47.0,47,False
Kiribati,KIR,D1,21.23,18.0,18,True
Kiribati,KIR,D2,43.2,44.0,44,True
Kiribati,KIR,D3,51.94,52.0,52,False
Kiribati,KIR,D4,27.89,26.0,26,True
Saint Kitts and Nevis,KNA,D1,32.92,38.0,38,True
Saint Kitts and Nevis,KNA,D2,63.37,65.0,65,True
Saint Kitts and Nevis,KNA,D3,52.62,48.0,48,True
Saint Kitts and Nevis,KNA,D4,46.76,47.0,47,False
Saint Lucia,LCA,D1,45.61,46.0,46,False
Saint Lucia,LCA,D2,67.62,68.0,68,False
Saint Lucia,LCA,D3,42.51,43.0,43,False
Saint Lucia,LCA,D4,51.58,52.0,52,False
Marshall Islands,MHL,D1,27.14,27.0,27,False
Marshall Islands,MHL,D2,46.23,55.0,55,True
Marshall Islands,MHL,D3,59.15,59.0,59,False
Marshall Islands,MHL,D4,32.37,32.0,32,False
Mauritius,MUS,D1,47.07,38.0,38,True
Mauritius,MUS,D2,49.66,48.0,48,True
Mauritius,MUS,D3,59.39,55.0,55,True
Mauritius,MUS,D4,59.26,58.0,58,True
Nauru,NRU,D1,37.49,37.0,37,False
Nauru,NRU,D2,60.99,61.0,61,False
Nauru,NRU,D3,48.12,48.0,48,False
Nauru,NRU,D4,35.45,35.0,35,False
Palau,PLW,D1,23.3,23.0,23,False
Palau,PLW,D2,43.63,44.0,44,False
Palau,PLW,D3,51.44,51.0,51,False
Palau,PLW,D4,40.97,41.0,41,False
Paraguay,PRY,D1,23.53,26.0,26,True
Paraguay,PRY,D2,53.08,62.0,62,True
Paraguay,PRY,D3,64.15,65.0,65,True
Paraguay,PRY,D4,39.7,42.0,42,True
Solomon Islands,SLB,D1,17.86,20.0,20,True
Solomon Islands,SLB,D2,45.79,46.0,46,False
Solomon Islands,SLB,D3,60.57,61.0,61,False
Solomon Islands,SLB,D4,29.01,32.0,32,True
Sao Tome and Principe,STP,D1,32.67,30.0,30,True
Sao Tome and Principe,STP,D2,63.85,64.0,64,False
Sao Tome and Principe,STP,D3,37.66,38.0,38,False
Sao Tome and Principe,STP,D4,34.91,35.0,35,False
Eswatini,SWZ,D1,22.19,23.0,23,True
Eswatini,SWZ,D2,41.13,51.0,51,True
Eswatini,SWZ,D3,67.2,62.0,62,True
Eswatini,SWZ,D4,38.77,39.0,39,False
Seychelles,SYC,D1,34.81,35.0,35,False
Seychelles,SYC,D2,58.43,58.0,58,False
Seychelles,SYC,D3,40.54,41.0,41,False
Seychelles,SYC,D4,40.47,40.0,40,False
Timor-Leste,TLS,D1,23.77,24.0,24,False
Timor-Leste,TLS,D2,53.98,54.0,54,False
Timor-Leste,TLS,D3,51.92,52.0,52,False
Timor-Leste,TLS,D4,34.78,35.0,35,False
Tonga,TON,D1,30.23,24.0,24,True
Tonga,TON,D2,42.7,43.0,43,False
Tonga,TON,D3,70.68,65.0,65,True
Tonga,TON,D4,39.26,37.0,37,True
Tuvalu,TUV,D1,21.17,21.0,21,False
Tuvalu,TUV,D2,54.97,62.0,62,True
Tuvalu,TUV,D3,57.57,58.0,58,False
Tuvalu,TUV,D4,31.42,31.0,31,False
Saint Vincent and the Grenadines,VCT,D1,38.12,38.0,38,False
Saint Vincent and the Grenadines,VCT,D2,58.82,65.0,65,True
Saint Vincent and the Grenadines,VCT,D3,49.19,49.0,49,False
Saint Vincent and the Grenadines,VCT,D4,46.85,47.0,47,False
Vanuatu,VUT,D1,23.94,24.0,24,False
Vanuatu,VUT,D2,53.1,55.0,55,True
Vanuatu,VUT,D3,38.4,38.0,38,False
Vanuatu,VUT,D4,29.99,31.0,31,True
Samoa,WSM,D1,20.69,21.0,21,False
Samoa,WSM,D2,50.89,68.0,68,True
Samoa,WSM,D3,69.79,63.0,63,True
Samoa,WSM,D4,38.36,38.0,38,False
