country,iso3,dimension,framework_baseline,framework_lower,framework_upper,specialist_recommendation,council_consensus,integrator_recommendation,llm_recommendation,final,clamp_adjustment,range_utilization
New Zealand,NZL,D1,84.07686897,81.12,87.03,75.667,84.0,79.4,82.0,82,2.6,15
New Zealand,NZL,D2,65.15380623,63.2,67.1,57.333,65.31,61.44,64.0,64,2.56,21
New Zealand,NZL,D3,42.87787082,41.17,44.58,45.667,43.31,44.49,44.0,44,-0.49,83
New Zealand,NZL,D4,46.74747363,45.0,48.5,54.0,47.31,50.45,48.0,48,-2.45,86
Philippines,PHL,D1,37.07159304,35.8,38.35,22.667,37.25,29.04,32.0,36,6.96,8
Philippines,PHL,D2,44.86896013,43.73,46.01,42.333,45.36,43.45,62.0,46,2.55,100
Philippines,PHL,D3,28.57593407,25.89,31.27,45.0,28.59,35.78,31.0,31,-4.78,95
Philippines,PHL,D4,45.7136857,43.91,47.51,57.667,45.69,52.26,48.0,47,-5.26,86
Portugal,PRT,D1,61.78179178,56.31,67.25,25.667,59.29,41.6,57.0,57,15.4,6
Portugal,PRT,D2,75.79544589,65.72,85.87,55.667,72.56,63.44,66.0,66,2.56,1
Portugal,PRT,D3,79.80195354,71.51,88.09,73.333,78.29,75.07,75.0,75,-0.07,21
Portugal,PRT,D4,63.07790991,55.54,70.62,32.667,59.82,45.73,56.0,56,10.27,3
Serbia,SRB,D1,57.23328672,51.85,62.61,24.0,54.47,38.77,38.0,52,13.23,1
Serbia,SRB,D2,51.57838759,38.58,64.57,60.0,42.8,53.39,47.0,47,-6.39,32
Serbia,SRB,D3,78.5433971,69.43,87.66,66.667,75.53,69.65,72.0,72,2.35,14
Serbia,SRB,D4,56.63173504,46.05,67.22,51.667,54.0,52.98,51.0,51,-1.98,23
Slovakia,SVK,D1,53.03505978,49.36,56.71,39.667,52.0,46.01,46.0,50,3.99,9
Slovakia,SVK,D2,43.82812034,28.0,59.66,36.0,38.0,37.71,38.0,38,0.29,32
Slovakia,SVK,D3,67.6927576,58.44,76.94,68.333,68.0,68.12,68.0,68,-0.12,52
Slovakia,SVK,D4,74.86843228,60.54,89.19,59.333,67.71,64.35,64.0,64,-0.35,12
Sweden,SWE,D1,94.6653021,90.59,97.0,81.5,94.75,86.84,91.0,91,4.16,6
Sweden,SWE,D2,73.63861865,66.28,81.0,31.5,72.0,50.26,67.0,67,16.74,5
Sweden,SWE,D3,60.65818851,53.62,67.7,55.0,58.71,56.56,57.0,57,0.44,24
Sweden,SWE,D4,27.75217859,17.02,38.49,21.333,30.44,24.97,25.0,25,0.03,37
Thailand,THA,D1,39.03147732,37.9,40.16,25.333,39.0,30.99,31.0,38,7.01,4
Thailand,THA,D2,36.54576399,35.14,37.95,29.667,36.0,32.8,33.0,36,3.2,31
Thailand,THA,D3,44.86541274,43.26,46.47,60.667,45.26,54.39,54.0,46,-8.39,85
Thailand,THA,D4,26.09560377,23.0,29.19,33.667,26.0,30.67,29.0,29,-1.67,97
Taiwan,TWN,D1,46.18333837,40.9,51.46,34.333,45.21,37.97,41.0,41,3.03,1
Taiwan,TWN,D2,29.37673963,22.72,36.03,29.5,29.26,29.41,29.0,29,-0.41,47
Taiwan,TWN,D3,64.29846741,60.1,68.5,67.667,64.0,65.96,66.0,66,0.04,70
Taiwan,TWN,D4,58.48681473,51.38,65.59,60.667,59.32,60.04,60.0,60,-0.04,61
Ukraine,UKR,D1,43.29537274,39.54,47.05,37.333,42.74,39.65,40.0,40,0.35,6
Ukraine,UKR,D2,42.29040593,30.92,53.66,58.5,37.72,47.86,48.0,48,0.14,75
Ukraine,UKR,D3,63.59496334,55.26,71.93,80.0,64.72,72.96,71.0,71,-1.96,94
Ukraine,UKR,D4,39.66172403,27.71,51.62,46.5,42.06,44.43,44.0,44,-0.43,68
United States,USA,D1,83.19859951,80.32,86.08,91.333,83.0,88.19,86.0,86,-2.19,99
United States,USA,D2,73.3026663,70.76,75.84,69.0,73.0,70.74,71.0,71,0.26,5
United States,USA,D3,18.84460456,15.37,22.32,44.0,19.0,32.64,22.0,22,-10.64,95
United States,USA,D4,60.39910328,58.99,61.81,78.333,60.72,70.57,61.0,61,-9.57,71
Venezuela,VEN,D1,46.35906504,45.65,47.06,21.0,46.0,31.67,32.0,46,14.33,25
Venezuela,VEN,D2,91.38009344,87.61,95.15,70.0,90.47,80.3,88.0,88,7.7,5
Venezuela,VEN,D3,64.7651784,63.13,66.4,42.5,65.0,51.34,64.0,64,12.66,27
Venezuela,VEN,D4,69.05472599,67.43,70.68,54.5,68.71,60.78,61.0,68,7.22,18
South Africa,ZAF,D1,59.50236958,51.71,67.29,45.667,59.94,51.14,52.0,52,0.86,2
South Africa,ZAF,D2,39.54485817,30.4,48.69,67.5,39.31,53.79,48.0,48,-5.79,96
South Africa,ZAF,D3,24.38852786,16.59,32.19,42.0,24.69,32.54,32.0,32,-0.54,99
South Africa,ZAF,D4,29.97295284,19.7,40.25,65.0,32.5,48.78,40.0,40,-8.78,99
Zimbabwe,ZWE,D1,35.46149759,31.9,39.02,41.333,35.0,39.36,39.0,39,-0.36,100
Zimbabwe,ZWE,D2,44.98513747,32.75,57.22,36.0,45.8,40.82,41.0,41,0.18,34
Zimbabwe,ZWE,D3,26.22926501,8.8,43.66,36.5,26.0,31.51,32.0,32,0.49,67
Zimbabwe,ZWE,D4,70.77122454,52.32,89.22,69.0,63.22,67.19,67.0,67,-0.19,40
Angola,AGO,D1,41.00963131,28.76,53.26,24.667,31.8,28.52,29.0,29,0.48,1
Angola,AGO,D2,53.58886685,34.1,73.07,49.0,66.4,55.31,55.0,55,-0.31,54
Angola,AGO,D3,43.76642646,22.44,65.1,58.667,44.92,53.31,53.0,53,-0.31,72
Angola,AGO,D4,27.64720621,3.0,58.17,47.0,21.14,36.11,36.0,36,-0.11,60
Albania,ALB,D1,39.657905,29.22,50.1,42.0,37.0,40.44,40.0,40,-0.44,52
Albania,ALB,D2,22.09435688,11.56,32.63,67.667,22.0,44.39,32.0,32,-12.39,97
Albania,ALB,D3,50.62145606,32.6,68.65,54.667,58.0,55.33,55.0,55,-0.33,62
Albania,ALB,D4,69.70320761,45.4,94.0,59.333,72.0,64.38,64.0,64,-0.38,38
United Arab Emirates,ARE,D1,37.10269904,25.87,48.34,27.667,30.5,29.47,29.0,29,-0.47,14
United Arab Emirates,ARE,D2,45.98953899,21.43,70.55,35.667,38.6,37.78,38.0,38,0.22,34
United Arab Emirates,ARE,D3,57.54739002,36.23,78.86,76.333,64.75,70.27,70.0,70,-0.27,79
United Arab Emirates,ARE,D4,49.99013101,20.24,79.74,70.667,55.25,63.02,63.0,63,-0.02,72
Armenia,ARM,D1,34.76544159,24.63,44.9,37.667,32.0,35.64,36.0,36,0.36,56
Armenia,ARM,D2,44.28711123,25.49,63.09,34.0,41.9,38.49,38.0,38,-0.49,33
Armenia,ARM,D3,44.29445746,22.73,65.86,71.667,55.75,62.56,63.0,63,0.44,93
Armenia,ARM,D4,57.99420877,27.05,88.94,65.667,48.0,58.56,59.0,59,0.44,52
Belgium,BEL,D1,76.92547695,69.15,84.7,66.0,77.75,70.4,70.0,70,-0.4,5
Belgium,BEL,D2,62.74334678,49.84,75.65,39.0,57.75,48.62,50.0,50,1.38,1
Belgium,BEL,D3,83.83218886,75.98,91.69,78.333,82.25,80.1,80.0,80,-0.1,26
Belgium,BEL,D4,66.25556779,52.61,79.9,49.0,63.87,56.4,56.0,56,-0.4,12
Bangladesh,BGD,D1,33.11911659,24.2,42.04,22.333,27.75,24.77,25.0,25,0.23,4
Bangladesh,BGD,D2,30.39015694,16.68,44.1,23.5,25.82,25.08,25.0,25,-0.08,30
Bangladesh,BGD,D3,38.99305308,23.7,54.29,53.5,48.15,50.35,50.0,50,-0.35,86
Bangladesh,BGD,D4,57.53348448,31.02,84.05,64.0,54.75,59.75,60.0,60,0.25,55
Bulgaria,BGR,D1,45.28476315,39.08,51.49,44.0,40.75,42.82,43.0,43,0.18,32
Bulgaria,BGR,D2,30.29420819,13.67,46.92,44.0,20.0,34.21,34.0,34,-0.21,61
Bulgaria,BGR,D3,64.97972776,54.06,75.9,72.333,65.0,68.91,69.0,69,0.09,68
Bulgaria,BGR,D4,57.50515599,42.62,72.39,46.667,53.0,50.14,50.0,50,-0.14,25
Cameroon,CMR,D1,30.52713844,22.39,38.66,21.0,28.5,24.65,25.0,25,0.35,16
Cameroon,CMR,D2,41.2225062,24.95,57.49,39.0,52.0,44.63,48.0,48,3.37,71
Cameroon,CMR,D3,40.81698878,21.4,60.23,48.333,43.0,45.78,46.0,46,0.22,63
Cameroon,CMR,D4,23.08261063,3.0,46.79,60.0,30.25,45.63,38.0,38,-7.63,80
Cyprus,CYP,D1,42.46361884,38.08,46.85,38.5,39.75,39.33,39.0,39,-0.33,10
Cyprus,CYP,D2,51.40290818,34.56,68.25,56.0,54.7,55.06,55.0,55,-0.06,61
Cyprus,CYP,D3,57.37532167,39.26,75.49,62.667,58.8,61.0,61.0,61,0.0,60
Cyprus,CYP,D4,56.38304144,33.24,79.53,50.667,51.13,51.54,52.0,52,0.46,41
Estonia,EST,D1,62.04663579,49.78,74.31,63.667,67.0,64.61,65.0,65,0.39,62
Estonia,EST,D2,42.89494112,20.77,65.02,29.0,28.25,30.19,30.0,30,-0.19,21
Estonia,EST,D3,59.4745811,41.61,77.34,67.5,62.0,64.42,64.0,64,-0.42,63
Estonia,EST,D4,43.15943237,13.67,72.65,49.0,44.5,46.69,47.0,47,0.31,57
Ghana,GHA,D1,28.20855976,20.17,36.25,19.0,24.0,21.3,21.0,21,-0.3,5
Ghana,GHA,D2,60.18846713,40.95,79.43,47.667,62.0,53.19,53.0,53,-0.19,31
Ghana,GHA,D3,25.62692532,12.07,39.19,40.0,28.0,34.85,35.0,35,0.15,85
Ghana,GHA,D4,41.3492528,25.13,57.57,37.5,38.0,38.04,38.0,38,-0.04,40
Croatia,HRV,D1,51.59093512,43.27,59.91,53.0,47.29,51.14,51.0,51,-0.14,46
Croatia,HRV,D2,43.33047811,26.44,60.22,39.0,37.57,38.92,39.0,39,0.08,37
Croatia,HRV,D3,60.88042521,49.6,72.16,56.5,63.5,58.8,59.0,59,0.2,42
Croatia,HRV,D4,59.48066367,48.13,70.83,45.0,53.08,49.37,49.0,49,-0.37,4
Iraq,IRQ,D1,33.98192708,26.04,41.92,21.333,29.5,25.0,27.0,27,2.0,6
Iraq,IRQ,D2,43.50694541,29.86,57.15,46.0,39.0,42.96,43.0,43,0.04,48
Iraq,IRQ,D3,52.44443824,35.02,69.87,56.5,59.71,57.11,57.0,57,-0.11,63
Iraq,IRQ,D4,54.16964329,29.53,78.81,55.0,50.25,52.83,53.0,53,0.17,48
Iceland,ISL,D1,82.6135823,69.23,96.0,72.333,88.0,78.51,79.0,79,0.49,36
Iceland,ISL,D2,65.56185503,41.53,89.59,63.5,71.14,66.48,66.0,66,-0.48,51
Iceland,ISL,D3,44.55382281,21.53,67.58,35.0,40.25,38.06,38.0,38,-0.06,36
Iceland,ISL,D4,19.72621262,3.0,44.77,51.0,27.75,41.85,42.0,42,0.15,93
Jamaica,JAM,D1,47.97980983,37.13,58.83,48.667,43.0,46.66,47.0,47,0.34,45
Jamaica,JAM,D2,48.67192058,25.29,72.05,70.0,57.7,62.67,63.0,63,0.33,81
Jamaica,JAM,D3,29.53144269,7.04,52.03,29.333,28.0,28.82,29.0,29,0.18,49
Jamaica,JAM,D4,60.29289923,38.61,81.98,61.667,58.0,59.94,60.0,60,0.06,49
Kyrgyzstan,KGZ,D1,34.16211984,24.83,43.49,38.333,30.0,35.71,30.0,30,-5.71,28
Kyrgyzstan,KGZ,D2,43.11654396,25.11,61.12,48.5,43.0,45.43,45.0,45,-0.43,55
Kyrgyzstan,KGZ,D3,46.11821179,21.96,70.27,34.0,57.0,45.09,52.0,52,6.91,62
Kyrgyzstan,KGZ,D4,57.44759418,29.99,84.9,56.5,38.75,49.39,40.0,40,-9.39,18
Kuwait,KWT,D1,38.62981724,27.21,50.05,22.0,31.0,26.34,28.0,28,1.66,3
Kuwait,KWT,D2,33.65425901,16.62,50.69,63.5,28.0,51.54,50.0,50,-1.54,98
Kuwait,KWT,D3,57.41561305,35.62,79.21,55.333,70.0,59.63,60.0,60,0.37,56
Kuwait,KWT,D4,40.45322174,19.85,61.05,51.0,43.33,47.48,47.0,47,-0.48,66
Lebanon,LBN,D1,40.52952142,32.3,48.76,31.0,36.75,33.86,34.0,34,0.14,10
Lebanon,LBN,D2,38.83338336,25.71,51.96,71.0,38.27,54.21,54.0,51,-3.21,96
Lebanon,LBN,D3,32.26501319,15.67,48.86,34.0,34.73,34.09,34.0,34,-0.09,55
Lebanon,LBN,D4,48.05683543,24.63,71.49,66.0,52.18,59.27,59.0,59,-0.27,73
Libya,LBY,D1,32.89079629,25.81,39.97,25.333,29.0,27.3,27.0,27,-0.3,8
Libya,LBY,D2,45.78120359,30.21,61.35,46.5,36.5,42.66,43.0,43,0.34,41
Libya,LBY,D3,39.82908793,22.98,56.68,49.333,46.46,47.49,47.0,47,-0.49,71
Libya,LBY,D4,61.49849287,33.48,89.51,48.333,55.92,52.14,52.0,52,-0.14,33
Srilanka,LKA,D1,40.07872326,29.32,50.84,26.667,34.25,30.65,31.0,31,0.35,8
Srilanka,LKA,D2,39.31980569,18.48,60.16,36.5,39.75,38.0,38.0,38,0.0,47
Srilanka,LKA,D3,40.55446146,26.84,54.27,59.0,41.0,51.01,51.0,51,-0.01,88
Srilanka,LKA,D4,26.48684366,3.0,50.5,42.5,25.25,36.3,36.0,36,-0.3,69
Lithuania,LTU,D1,61.69279696,48.49,74.89,58.5,62.0,60.33,60.0,60,-0.33,44
Lithuania,LTU,D2,33.75436543,11.55,55.96,37.333,29.09,33.64,34.0,34,0.36,51
Lithuania,LTU,D3,59.4371452,35.23,83.65,66.667,67.5,66.2,66.0,66,-0.2,64
Lithuania,LTU,D4,41.61348002,14.17,69.06,57.667,37.75,48.13,48.0,48,-0.13,62
Latvia,LVA,D1,59.20440211,49.86,68.54,68.333,60.75,64.5,64.0,64,-0.5,76
Latvia,LVA,D2,25.1148386,11.54,38.69,32.667,22.27,27.81,28.0,28,0.19,61
Latvia,LVA,D3,68.04528684,57.72,78.37,71.667,65.25,68.92,69.0,69,0.08,55
Latvia,LVA,D4,15.95357996,3.0,30.22,44.0,16.0,31.17,30.0,30,-1.17,99
Mozambique,MOZ,D1,33.28082602,21.98,44.58,22.667,25.25,24.71,25.0,25,0.29,13
Mozambique,MOZ,D2,52.3783629,34.19,70.56,33.5,52.0,43.86,44.0,44,0.14,27
Mozambique,MOZ,D3,34.44744266,13.15,55.75,34.333,34.25,34.31,34.0,34,-0.31,49
Mozambique,MOZ,D4,41.79161568,13.37,70.21,36.5,26.75,33.05,33.0,33,-0.05,35
Nicaragua,NIC,D1,38.16836211,29.35,46.98,23.333,32.25,28.07,30.0,30,1.93,4
Nicaragua,NIC,D2,62.68002328,40.96,84.4,62.667,62.29,62.53,63.0,63,0.47,51
Nicaragua,NIC,D3,48.17726114,18.14,78.21,51.0,52.25,51.18,51.0,51,-0.18,55
Nicaragua,NIC,D4,51.90502402,21.2,82.61,34.0,41.5,39.33,39.0,39,-0.33,29
Norway,NOR,D1,88.13947142,79.39,96.89,74.667,88.75,80.53,81.0,81,0.47,9
Norway,NOR,D2,65.37298502,52.13,78.62,34.333,63.25,49.1,53.0,53,3.9,3
Norway,NOR,D3,60.97431391,51.87,70.07,61.0,58.29,59.97,60.0,60,0.03,45
Norway,NOR,D4,22.47362606,7.48,37.46,22.667,22.0,22.45,22.0,22,-0.45,48
Nepal,NPL,D1,37.3385914,29.52,45.15,25.0,33.0,28.99,30.0,30,1.01,3
Nepal,NPL,D2,39.11852573,19.67,58.56,31.0,39.0,35.01,35.0,35,-0.01,39
Nepal,NPL,D3,41.63583752,26.39,56.89,58.333,37.0,47.38,47.0,47,-0.38,68
Nepal,NPL,D4,52.46306116,34.55,70.37,40.0,45.27,43.7,44.0,44,0.3,26
Panama,PAN,D1,38.18949663,25.85,50.53,19.0,28.0,24.07,26.0,26,1.93,1
Panama,PAN,D2,51.87921746,22.72,81.03,60.0,62.0,59.89,60.0,60,0.11,64
Panama,PAN,D3,59.91049224,39.26,80.56,48.333,68.0,54.68,55.0,55,0.32,38
Panama,PAN,D4,46.90972624,19.2,74.62,48.333,36.0,43.56,44.0,44,0.44,45
Puerto Rico,PRI,D1,50.64379503,41.18,60.11,27.333,45.25,35.38,42.0,42,6.62,4
Puerto Rico,PRI,D2,72.31174905,58.41,86.21,77.0,80.5,77.72,78.0,78,0.28,70
Puerto Rico,PRI,D3,35.94490155,18.31,53.58,31.5,36.0,33.78,34.0,34,0.22,44
Puerto Rico,PRI,D4,55.72365709,29.4,82.04,57.5,49.91,54.27,54.0,54,-0.27,47
Saudi Arabia,SAU,D1,37.72951269,25.55,49.91,27.667,27.0,28.33,28.0,28,-0.33,10
Saudi Arabia,SAU,D2,44.85333558,27.62,62.08,32.0,38.0,35.73,36.0,36,0.27,24
Saudi Arabia,SAU,D3,57.89107172,41.12,74.66,83.0,68.0,75.6,74.0,74,-1.6,98
Saudi Arabia,SAU,D4,57.86961932,30.24,85.5,64.667,46.0,57.32,57.0,57,-0.32,48
Senegal,SEN,D1,30.79768517,24.02,37.58,23.0,26.75,24.95,25.0,25,0.05,7
Senegal,SEN,D2,46.70983501,27.29,66.13,65.0,43.73,55.0,55.0,55,0.0,71
Senegal,SEN,D3,32.29933729,19.37,45.23,41.0,36.86,38.31,38.0,38,-0.31,72
Senegal,SEN,D4,28.72228208,14.28,43.16,41.5,30.25,35.66,36.0,36,0.34,75
El Salvador,SLV,D1,42.99152583,32.93,53.06,27.333,34.5,31.45,33.0,33,1.55,0
El Salvador,SLV,D2,79.94025111,68.74,91.14,60.667,78.25,69.71,70.0,70,0.29,6
El Salvador,SLV,D3,62.16313427,45.17,79.16,72.0,66.86,69.34,69.0,69,-0.34,70
El Salvador,SLV,D4,50.77334809,32.34,69.2,45.0,47.0,46.56,47.0,47,0.44,40
Suriname,SUR,D1,46.81843419,35.2,58.44,29.0,38.0,34.28,36.0,36,1.72,3
Suriname,SUR,D2,43.49100791,20.74,66.24,64.0,66.0,62.35,62.0,62,-0.35,91
Suriname,SUR,D3,65.38892511,45.57,85.21,46.5,79.0,63.79,64.0,64,0.21,46
Suriname,SUR,D4,37.07070467,6.7,67.45,35.0,36.6,36.01,36.0,36,-0.01,48
Slovenia,SVN,D1,59.8419464,52.49,67.2,45.0,60.07,50.8,53.0,53,2.2,3
Slovenia,SVN,D2,52.28060393,43.27,61.29,37.333,51.0,44.32,44.0,44,-0.32,4
Slovenia,SVN,D3,80.6831429,73.43,87.94,79.333,79.75,79.6,80.0,80,0.4,45
Slovenia,SVN,D4,36.26250226,25.69,46.83,35.333,38.5,36.43,36.0,36,-0.43,49
Trinidad And Tobago,TTO,D1,43.32878295,30.52,56.14,36.0,34.75,36.25,36.0,36,-0.25,21
Trinidad And Tobago,TTO,D2,45.74952951,24.2,67.3,81.0,60.0,68.78,67.0,67,-1.78,99
Trinidad And Tobago,TTO,D3,52.38065916,30.08,74.68,35.0,49.25,43.44,43.0,43,-0.44,29
Trinidad And Tobago,TTO,D4,67.63636732,45.33,89.94,61.0,67.25,64.31,64.0,64,-0.31,42
Tunisia,TUN,D1,33.33287392,24.5,42.16,25.0,29.5,27.42,27.0,27,-0.42,14
Tunisia,TUN,D2,41.45987355,21.63,61.29,43.333,37.25,40.87,41.0,41,0.13,49
Tunisia,TUN,D3,42.55166651,15.19,69.92,62.667,55.25,57.98,58.0,58,0.02,78
Tunisia,TUN,D4,55.61958752,29.63,81.61,43.667,46.5,46.19,46.0,46,-0.19,31
Uganda,UGA,D1,31.57482638,22.79,40.36,21.667,28.25,24.81,25.0,25,0.19,13
Uganda,UGA,D2,39.91744132,16.33,63.5,42.333,38.82,40.79,41.0,41,0.21,52
Uganda,UGA,D3,36.56450143,15.89,57.24,45.667,38.5,42.08,42.0,42,-0.08,63
Uganda,UGA,D4,52.34705172,32.49,72.2,57.333,52.75,55.23,55.0,55,-0.23,57
Uruguay,URY,D1,56.61888672,48.01,65.23,47.667,53.08,50.65,51.0,51,0.35,17
Uruguay,URY,D2,65.94567445,51.77,80.12,55.0,62.75,59.69,60.0,60,0.31,29
Uruguay,URY,D3,64.75743962,46.87,82.65,63.333,69.0,65.31,65.0,65,-0.31,51
Uruguay,URY,D4,47.89789875,25.29,70.51,36.0,37.5,38.13,38.0,38,-0.13,28
Uzbekistan,UZB,D1,37.27129823,28.04,46.5,18.0,32.0,24.39,24.0,29,4.61,5
Uzbekistan,UZB,D2,39.20467164,21.93,56.48,32.333,30.0,32.18,32.0,32,-0.18,29
Uzbekistan,UZB,D3,38.57960686,13.86,63.3,72.0,55.25,63.13,63.0,63,-0.13,99
Uzbekistan,UZB,D4,51.5973955,24.25,78.95,50.0,47.75,49.26,49.0,49,-0.26,45
Yemen,YEM,D1,32.30200678,23.7,40.9,21.333,27.0,24.18,24.0,24,-0.18,2
Yemen,YEM,D2,43.60840903,22.01,65.21,30.0,40.33,35.54,36.0,36,0.46,32
Yemen,YEM,D3,32.08827408,10.8,53.37,59.667,38.5,52.24,52.0,52,-0.24,97
Yemen,YEM,D4,31.17210252,6.61,55.73,34.333,30.5,32.63,33.0,33,0.37,54
Afghanistan,AFG,D1,44.55762594,29.36,59.76,13.0,34.25,23.82,20.0,30,6.18,2
Afghanistan,AFG,D2,48.8193508,22.42,75.22,23.667,53.75,38.01,38.0,38,-0.01,30
Afghanistan,AFG,D3,47.52617433,16.75,78.3,56.0,61.25,57.01,62.0,62,4.99,74
Afghanistan,AFG,D4,50.50635163,15.43,85.59,62.333,32.75,51.18,35.0,35,-16.18,28
Andorra,AND,D1,70.91117295,50.88,90.95,67.333,72.78,69.71,70.0,70,0.29,48
Andorra,AND,D2,62.66262252,36.65,88.68,51.0,63.0,58.58,59.0,59,0.42,43
Andorra,AND,D3,56.39064751,29.41,83.37,65.0,53.5,58.84,59.0,59,0.16,55
Andorra,AND,D4,51.69588514,18.11,85.28,53.333,56.71,54.52,55.0,55,0.48,55
Azerbaijan,AZE,D1,45.38285002,31.93,58.84,27.667,34.25,31.67,32.0,32,0.33,0
Azerbaijan,AZE,D2,43.64995961,23.67,63.63,39.0,43.0,41.08,41.0,41,-0.08,43
Azerbaijan,AZE,D3,44.78160929,19.64,69.93,76.0,51.5,63.66,64.0,64,0.34,88
Azerbaijan,AZE,D4,45.43891322,23.0,67.88,52.5,38.5,45.38,45.0,45,-0.38,49
Burundi,BDI,D1,40.62681675,26.21,55.04,23.0,28.25,26.55,27.0,27,0.45,3
Burundi,BDI,D2,44.32743765,22.81,65.84,25.5,38.25,32.47,32.0,32,-0.47,21
Burundi,BDI,D3,45.277332,18.05,72.5,48.5,49.0,48.35,48.0,48,-0.35,55
Burundi,BDI,D4,55.35040801,20.93,89.77,33.0,30.25,35.38,35.0,35,-0.38,20
Benin,BEN,D1,41.87115668,28.06,55.68,24.333,32.75,29.16,29.0,29,-0.16,3
Benin,BEN,D2,44.13889226,24.06,64.22,66.0,43.25,54.11,54.0,54,-0.11,75
Benin,BEN,D3,44.66151413,20.07,69.25,50.667,47.25,48.61,49.0,49,0.39,59
Benin,BEN,D4,53.1569257,20.02,86.29,44.333,33.25,40.69,41.0,41,0.31,32
Bahamas,BHS,D1,40.08187195,27.2,52.97,34.333,39.0,36.87,37.0,37,0.13,38
Bahamas,BHS,D2,50.67629641,29.46,71.89,67.333,59.56,62.07,62.0,62,-0.07,77
Bahamas,BHS,D3,49.23344805,21.79,76.68,50.667,49.75,50.07,50.0,50,-0.07,51
Bahamas,BHS,D4,51.52939067,18.4,84.66,52.667,44.25,48.73,49.0,49,0.27,46
Belarus,BLR,D1,57.94247167,43.18,72.71,36.0,54.75,46.63,47.0,47,0.37,13
Belarus,BLR,D2,41.52932315,11.34,71.72,21.5,40.75,31.05,31.0,31,-0.05,33
Belarus,BLR,D3,60.60687378,32.52,88.7,85.0,68.25,75.97,76.0,76,0.03,77
Belarus,BLR,D4,44.92079186,8.79,81.05,40.0,35.0,38.58,39.0,39,0.42,42
Belize,BLZ,D1,44.6849705,29.92,59.45,32.667,37.0,35.77,36.0,36,0.23,21
Belize,BLZ,D2,53.33435135,27.06,79.61,65.0,61.5,62.13,62.0,62,-0.13,66
Belize,BLZ,D3,55.02742437,26.59,83.46,34.0,47.25,46.05,46.0,46,-0.05,34
Belize,BLZ,D4,50.79727609,16.6,85.0,39.0,40.75,41.39,41.0,41,-0.39,36
Brunei,BRN,D1,44.31424039,31.31,57.32,24.333,36.25,30.83,32.0,32,1.17,3
Brunei,BRN,D2,48.88812926,23.45,74.33,23.333,39.0,32.31,32.0,32,-0.31,17
Brunei,BRN,D3,49.2575045,22.3,76.21,75.667,61.5,68.42,68.0,68,-0.42,85
Brunei,BRN,D4,45.94620907,17.15,74.74,37.667,40.25,39.67,40.0,40,0.33,40
Botswana,BWA,D1,45.43971377,31.1,59.78,24.0,40.89,31.66,32.0,32,0.34,3
Botswana,BWA,D2,46.3457333,27.72,64.98,39.0,51.0,45.05,45.0,45,-0.05,46
Botswana,BWA,D3,51.27672387,24.26,78.3,64.667,60.67,61.6,62.0,62,0.4,70
Botswana,BWA,D4,47.76520516,15.66,79.87,44.333,30.5,39.07,39.0,39,-0.07,36
Central African Republic,CAF,D1,39.22800758,25.31,53.14,27.0,30.25,29.51,30.0,30,0.49,17
Central African Republic,CAF,D2,45.36342687,18.53,72.2,47.667,42.25,45.46,45.0,45,-0.46,49
Central African Republic,CAF,D3,43.04003421,15.63,70.45,27.0,43.0,34.33,34.0,34,-0.33,34
Central African Republic,CAF,D4,50.29836972,21.97,78.63,41.0,37.5,40.64,41.0,41,0.36,34
C̫te d'Ivoire,CIV,D1,50.37530436,34.13,66.62,24.667,39.0,31.92,35.0,35,3.08,3
C̫te d'Ivoire,CIV,D2,47.90844589,20.63,75.18,64.0,57.0,59.19,59.0,59,-0.19,70
C̫te d'Ivoire,CIV,D3,50.61515494,18.19,83.04,48.0,32.5,42.08,42.0,42,-0.08,37
C̫te d'Ivoire,CIV,D4,44.64273941,8.85,80.44,60.667,35.75,48.71,49.0,49,0.29,56
Democratic Republic of the Congo,COD,D1,38.86494979,30.14,47.58,19.333,36.56,28.41,31.0,31,2.59,5
Democratic Republic of the Congo,COD,D2,44.72286441,16.88,72.56,65.0,43.56,48.25,48.0,48,-0.25,56
Democratic Republic of the Congo,COD,D3,46.28409996,19.92,72.65,40.667,44.67,42.77,43.0,43,0.23,44
Democratic Republic of the Congo,COD,D4,51.86581477,25.67,78.06,56.5,40.0,48.3,48.0,48,-0.3,43
Cape Verde,CPV,D1,39.99893556,25.04,54.96,27.667,35.5,31.73,32.0,32,0.27,23
Cape Verde,CPV,D2,53.67062009,34.52,72.82,64.0,66.0,63.63,64.0,64,0.37,77
Cape Verde,CPV,D3,33.00335838,13.7,52.31,43.333,35.0,39.48,39.0,39,-0.48,66
Cape Verde,CPV,D4,25.35144265,3.0,50.38,34.0,21.75,29.23,29.0,29,-0.23,55
Cuba,CUB,D1,40.09073255,26.36,53.82,23.667,33.56,29.01,29.0,29,-0.01,10
Cuba,CUB,D2,45.62583704,25.83,65.42,57.667,53.67,55.25,55.0,55,-0.25,74
Cuba,CUB,D3,45.98709773,18.74,73.23,70.667,45.11,57.51,58.0,58,0.49,72
Cuba,CUB,D4,50.21313138,19.07,81.36,40.0,41.78,41.92,42.0,42,0.08,37
Djibouti,DJI,D1,40.97385233,26.59,55.36,18.0,29.25,24.41,27.0,27,2.59,1
Djibouti,DJI,D2,44.20744043,20.64,67.77,36.0,41.75,39.14,39.0,39,-0.14,39
